# target,RA,Dec,band(s),freq [GHz],start,stop,I flux [mJy],I error [mJy],Q flux [mJy],Q error [mJy],U flux [mJy],U error [mJy],Pol.Frac,PF low lim,PF high lim,Pol.Ang [deg],PA low lim,PA high lim
PCCS2 143 G000.35-19.48 a.k.a. PGCC G000.37-19.50 -- Cold clump,287.5696,-37.1480,30,30.000,2009-10-02,2009-10-03,46.4,63.6,-40.6,91.3,-52.7,86.1,0.0000,0.0000,1.0000,-63.789,-153.786,26.210
PCCS2 143 G000.35-19.48 a.k.a. PGCC G000.37-19.50 -- Cold clump,287.5696,-37.1480,44,44.000,2009-09-27,2009-10-03,61.1,177.4,-134.4,207.1,347.8,320.7,4.7441,0.0000,1.0000,55.563,-34.431,145.552
PCCS2 143 G000.35-19.48 a.k.a. PGCC G000.37-19.50 -- Cold clump,287.5696,-37.1480,70,70.000,2009-10-01,2009-10-02,340.4,173.6,-17.5,238.5,96.2,250.0,0.0000,0.0000,1.0000,50.145,-39.814,140.127
PCCS2 143 G000.35-19.48 a.k.a. PGCC G000.37-19.50 -- Cold clump,287.5696,-37.1480,100,100.000,2009-09-30,2009-10-01,889.0,55.3,96.5,90.7,62.9,78.5,0.0837,0.0000,0.3761,16.540,-72.717,106.490
PCCS2 143 G000.35-19.48 a.k.a. PGCC G000.37-19.50 -- Cold clump,287.5696,-37.1480,143,143.000,2009-09-28,2009-09-28,1875.9,28.0,-6.5,55.1,101.5,58.2,0.0455,0.0000,0.1384,46.846,-42.410,136.691
PCCS2 143 G000.35-19.48 a.k.a. PGCC G000.37-19.50 -- Cold clump,287.5696,-37.1480,217,217.000,2009-09-30,2009-09-30,5021.8,45.2,25.2,98.2,125.9,99.3,0.0164,0.0000,0.0761,39.340,-50.380,129.188
PCCS2 143 G000.35-19.48 a.k.a. PGCC G000.37-19.50 -- Cold clump,287.5696,-37.1480,353,353.000,2009-09-29,2009-09-29,21531.0,88.9,-418.2,278.8,-377.6,212.6,0.0234,0.0000,0.0584,-68.960,-91.958,-36.310
PCCS2 143 G000.35-19.48 a.k.a. PGCC G000.37-19.50 -- Cold clump,287.5696,-37.1480,545,545.000,2009-09-29,2009-09-29,75557.6,511.4,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000
PCCS2 143 G000.35-19.48 a.k.a. PGCC G000.37-19.50 -- Cold clump,287.5696,-37.1480,857,857.000,2009-09-29,2009-09-29,136711.9,527.8,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.000,0.000,0.000
PCCS2 143 G000.35-19.48 a.k.a. PGCC G000.37-19.50 -- Cold clump,287.5696,-37.1480,30,30.000,2010-03-30,2010-03-31,43.2,64.8,119.0,86.8,-60.7,97.8,2.2375,0.0000,1.0000,-13.500,-103.045,75.729
PCCS2 143 G000.35-19.48 a.k.a. PGCC G000.37-19.50 -- Cold clump,287.5696,-37.1480,44,44.000,2010-03-30,2010-04-06,383.3,157.7,-114.7,212.9,-142.3,281.1,0.0000,0.0000,1.0000,-64.426,-154.405,25.568
PCCS2 143 G000.35-19.48 a.k.a. PGCC G000.37-19.50 -- Cold clump,287.5696,-37.1480,70,70.000,2010-03-31,2010-04-01,420.4,150.8,276.9,200.2,-306.9,225.8,0.8549,0.0711,1.0000,-23.971,-53.754,12.326
