# target               , alias                         , type                          , RA        , Dec       
PCCS2 143 G000.35-19.48, PGCC G000.37-19.50            , Cold clump                    ,   287.5696,   -37.1480
PCCS2 143 G001.36+45.99, ICRF J151640.2+001501         , Seyfert 1 Galaxy              ,   229.1520,    +0.2440
PCCS2 143 G001.58-28.95, QSO B1954-388                 , Quasar                        ,   299.4958,   -38.7491
PCCS2 143 G009.33-19.61, QSO B1921-293                 , BL Lac - type object          ,   291.2207,   -29.2573
PCCS2 143 G010.83+40.91, QSO B1546+0246                , Quasar                        ,   237.3631,    +2.6157
PCCS2 143 G014.20+42.21, 4C 05.64                      , Quasar                        ,   237.6520,    +5.4389
PCCS2 143 G016.86-13.20, QSO B1908-202                 , Quasar                        ,   287.7738,   -20.1164
PCCS2 143 G017.19-16.26, [VV2006] J192332.2-210433     , Quasar                        ,   290.8976,   -21.0650
PCCS2 143 G021.20+19.62, 3C 353                        , Active Galaxy Nucleus         ,   260.1341,    -0.9856
PCCS2 143 G024.01-23.11, QSO B1958-179                 , Quasar                        ,   300.2389,   -17.8106
PCCS2 143 G024.37-64.93, ICRF J225805.9-275821         , Seyfert 1 Galaxy              ,   344.5367,   -27.9793
PCCS2 143 G026.68+28.66, QSO J1658+0741                , Quasar                        ,   254.5221,    +7.6895
PCCS2 143 G034.61+11.84, NGC 6572                      , Planetary Nebula              ,   273.0297,    +6.8475
PCCS2 143 G034.90+17.65, QSO B1749+096 = 4C 09.57 = OT081, BL Lac - type object          ,   267.8763,    +9.6430
PCCS2 143 G036.89-24.37, QSO B2022-077 = QSO J2025-0735, BL Lac - type object          ,   306.4125,    -7.5953
PCCS2 143 G039.59-72.18, ICRF J233355.2-234340         , BL Lac - type object          ,   353.4669,   -23.7344
PCCS2 143 G040.66-48.04, QSO B2155-152                 , Quasar                        ,   329.5517,   -15.0124
PCCS2 143 G052.40-36.49, 4C -02.81                     , BL Lac - type object          ,   323.5429,    -1.8776
PCCS2 143 G053.89-57.06, QSO J2246-1206                , Quasar                        ,   341.5777,   -12.1004
PCCS2 143 G055.14+46.38, QSO B1611+343 = 6C 161147+342017 = DA406, Quasar                        ,   243.4129,   +34.2080
PCCS2 143 G055.22-51.71, QSO B2227-0848                , Quasar                        ,   337.4267,    -8.5516
PCCS2 143 G055.47-35.57, QSO B2134+0028 = QSO B2134+004, Quasar                        ,   324.1593,    +0.7026
PCCS2 143 G057.68-40.34, ICRF J215614.7-003704         , BL Lac - type object          ,   329.0555,    -0.6365
PCCS2 143 G058.95-48.84, 3C 446                        , Quasar                        ,   336.4492,    -4.9542
PCCS2 143 G061.08+42.34, QSO B1633+382 = 4C 38.41      , Quasar                        ,   248.8054,   +38.1373
PCCS2 143 G063.45+40.94, 3C 345                        , Quasar                        ,   250.7546,   +39.8113
PCCS2 143 G063.66-34.06, 4C 06.69                      , Quasar                        ,   327.0254,    +6.9681
PCCS2 143 G064.03+31.01, QSO J1734+3857 = 7C 173240.70+385949.00, BL Lac - type object          ,   263.5782,   +38.9722
PCCS2 143 G065.54-71.88, QSO B2345-167                 , Quasar                        ,   357.0068,   -16.5132
PCCS2 143 G071.41+33.28, ICRF J172727.6+453039         , Seyfert 1 Galaxy              ,   261.8642,   +45.4998
